Survived;Pclass;Sex;Age;SibSp;Parch;Fare
0;3;male;22;1;0;7.25
1;3;female;26;0;0;7.925
0;3;male;35;0;0;8.05
0;3;male;2;3;1;21.075
1;3;female;27;0;2;111.333
1;3;female;4;1;1;16.7
0;3;male;20;0;0;8.05
0;3;male;39;1;5;31.275
0;3;female;14;0;0;78.542
0;3;male;2;4;1;29.125
0;3;female;31;1;0;18
1;3;female;15;0;0;80.292
0;3;female;8;3;1;21.075
1;3;female;38;1;5;313.875
0;3;male;21;0;0;8.05
0;3;female;18;2;0;18
1;3;female;14;1;0;112.417
0;3;female;40;1;0;9.475
1;3;female;19;0;0;78.792
0;3;female;18;1;0;17.8
0;3;male;7;4;1;396.875
0;3;male;21;0;0;7.8
0;3;male;28.5;0;0;72.292
0;3;male;11;5;2;46.9
0;3;male;22;0;0;72.292
0;3;male;4;3;2;27.9
0;3;male;19;0;0;81.583
1;3;female;17;4;2;7.925
0;3;male;26;2;0;86.625
0;3;female;16;5;2;46.9
0;3;male;26;1;0;144.542
1;3;male;32;0;0;564.958
0;3;male;25;0;0;7.65
1;3;female;30;0;0;12.475
0;3;male;22;0;0;9
1;3;male;29;0;0;9.5
1;3;female;33;3;0;15.85
0;3;male;16;1;3;34.375
0;3;male;24;0;0;8.05
0;3;male;29;0;0;8.05
0;3;male;20;0;0;78.542
0;3;male;26;1;2;20.575
0;3;male;59;0;0;7.25
0;3;female;28;0;0;78.958
0;3;male;33;0;0;86.542
0;3;male;37;2;0;7.925
0;3;male;28;0;0;78.958
1;3;female;21;0;0;7.65
0;3;male;38;0;0;78.958
0;3;female;14.5;1;0;144.542
0;3;male;22;0;0;8.05
0;3;female;20;1;0;9.825
0;3;female;17;0;0;144.583
0;3;male;21;0;0;7.925
0;3;male;70.5;0;0;7.75
0;3;female;2;4;2;31.275
1;3;male;12;1;0;112.417
1;3;male;24;0;0;71.417
0;3;male;45;0;0;6.975
0;3;male;33;0;0;78.958
0;3;male;20;0;0;7.05
0;3;female;47;1;0;14.5
0;3;male;16;0;0;92.167
1;3;female;22;0;0;7.75
1;3;female;24;1;0;15.85
0;3;male;19;0;0;6.75
